1;;0.68;0.32;0.53;0.63;0.30;0.20;0.79;0.01;0.56;0.59;0.22;0.14;0.58;0.22;0.61;0.06;0.28;0.16;0.41;0.06;0.22;0.10;0.76;0.37;0.96;0.34
6;;1.02;0.47;0.41;0.94;1.00;0.92;0.06;0.86;0.66;1.01;0.83;0.08;0.50;0.72;0.77;0.55;0.32;0.60;0.55;0.75;0.65;0.52;0.39;0.20;0.97;0.74
11;;0.57;0.67;0.81;0.19;0.11;0.81;0.75;0.05;0.12;0.59;0.80;0.07;0.72;0.70;0.67;0.70;0.03;0.62;0.14;0.17;0.60;0.42;0.73;0.71;0.43;0.44
16;;0.88;0.22;0.11;0.16;0.76;0.90;0.48;0.60;0.75;0.61;0.40;0.39;0.26;0.25;0.58;0.17;0.05;0.25;0.20;0.15;0.38;0.52;0.03;0.86;0.24;0.64
21;;0.28;0.25;0.80;0.09;0.43;0.53;0.37;0.24;0.68;0.89;0.18;0.04;0.01;0.02;0.19;0.70;0.12;0.80;0.80;0.41;0.86;0.46;0.56;0.30;0.51;0.68
26;;0.62;0.73;0.89;0.20;0.12;0.88;0.82;0.05;0.13;0.65;0.87;0.08;0.78;0.77;0.73;0.77;0.03;0.67;0.15;1.06;0.65;0.46;0.80;0.38;0.47;0.47
31;;0.27;0.70;0.56;0.87;0.99;0.26;0.36;0.50;0.28;0.81;0.46;0.29;0.59;0.72;0.22;1.00;1.01;0.69;0.85;0.30;0.80;0.26;0.20;0.98;0.58;0.10
36;;0.40;0.72;0.03;0.70;0.23;0.82;0.05;0.51;0.43;0.06;0.43;0.08;0.64;0.78;0.72;0.41;0.07;0.75;0.88;0.29;0.52;0.14;0.34;0.05;0.72;0.45
41;;0.69;0.28;0.24;0.14;0.82;0.06;0.75;0.45;0.59;0.32;0.64;0.08;0.10;0.26;0.58;0.10;0.50;0.34;0.80;0.33;0.22;0.21;0.42;0.76;0.69;0.78
46;;0.55;0.89;0.39;0.80;0.16;0.58;0.81;0.00;0.40;0.09;0.56;0.77;0.69;0.83;0.28;0.14;0.25;0.72;0.23;0.31;0.03;0.58;0.75;0.53;0.10;0.84
51;;0.39;0.71;0.03;0.69;0.23;0.49;0.05;0.50;0.43;0.05;0.42;0.08;0.63;0.77;0.72;0.41;0.07;0.75;0.88;0.28;0.52;0.14;0.33;0.05;0.71;0.45
56;;0.14;0.66;0.36;0.49;0.39;0.98;0.58;0.16;0.14;0.96;0.51;1.14;1.06;0.65;0.57;0.30;1.03;0.32;0.81;0.68;0.11;0.17;0.42;0.89;0.21;0.85
61;;0.14;0.65;0.35;0.48;0.38;0.96;0.57;0.16;0.14;0.95;0.50;1.13;1.05;0.64;0.56;0.29;1.02;0.32;0.80;0.67;0.11;0.17;0.41;0.88;0.21;0.84
66;;0.20;0.12;0.03;0.73;0.24;0.52;0.05;0.53;0.45;0.06;0.45;0.08;0.67;0.82;0.76;0.43;0.07;0.79;0.92;0.30;0.55;0.15;0.35;0.51;0.75;0.47
71;;0.80;0.32;0.27;0.16;0.93;0.07;0.84;0.51;0.67;0.36;0.72;0.09;0.11;0.29;0.71;0.12;0.56;0.39;0.90;0.38;0.25;0.24;0.48;0.87;0.78;0.88
76;;0.58;0.84;0.50;1.45;1.42;0.37;1.46;0.65;1.40;0.03;0.99;0.44;0.30;1.05;0.90;0.41;0.66;0.02;0.75;0.46;0.90;1.25;1.48;1.22;0.91;0.83
81;;0.14;0.63;0.34;0.47;0.37;0.94;0.55;0.16;0.14;0.72;0.49;1.10;1.02;0.63;0.55;0.28;0.99;0.31;0.77;0.65;0.11;0.17;0.40;0.86;0.20;0.82
86;;0.70;0.28;0.24;0.14;0.79;0.06;0.74;0.45;0.59;0.32;0.63;0.08;0.10;0.26;0.63;0.57;0.50;0.34;0.79;0.33;0.70;0.21;0.42;0.76;0.69;0.78
91;;0.32;0.28;0.91;0.10;0.49;0.60;1.13;0.27;0.77;1.01;0.55;0.04;0.01;0.02;0.22;0.79;0.13;0.00;0.60;0.40;0.97;0.52;0.63;0.33;0.57;0.77
96;;0.43;0.69;0.10;0.62;0.13;0.45;0.63;0.00;0.31;0.63;0.44;0.60;0.54;0.64;0.21;0.11;0.20;0.56;0.18;0.43;0.03;0.45;0.58;0.53;0.38;0.66
101;;0.77;0.30;0.26;0.15;0.86;0.06;0.81;0.49;0.64;0.28;0.69;0.08;0.10;0.28;0.69;0.62;0.54;0.37;0.86;0.36;0.76;0.23;0.46;0.83;0.75;0.85
106;;0.60;0.15;0.70;0.11;0.53;0.62;0.33;0.41;0.70;0.42;0.65;0.03;0.18;0.17;0.40;0.12;0.03;0.17;0.22;0.10;0.26;0.36;0.02;0.59;0.17;0.44
111;;0.62;0.16;0.72;0.11;0.54;0.64;0.34;0.43;0.73;0.43;0.67;0.03;0.19;0.18;0.41;0.12;0.04;0.18;0.23;0.11;0.27;0.37;0.02;0.61;0.17;0.45
116;;0.75;0.43;0.26;0.15;0.84;0.06;0.79;0.48;0.62;0.27;0.92;0.08;0.15;0.28;0.67;0.60;0.53;0.36;0.84;0.35;0.74;0.23;0.45;0.81;0.73;0.82
121;;0.58;0.03;0.67;0.10;0.50;0.59;0.31;0.40;0.67;0.40;0.62;0.03;0.17;0.17;0.38;0.11;0.03;0.16;0.21;0.10;0.25;0.34;0.02;0.57;0.16;0.42
126;;0.61;0.03;0.71;0.11;0.53;0.63;0.33;0.42;0.71;0.43;0.66;0.03;0.18;0.18;0.40;0.12;0.03;0.17;0.22;0.10;0.26;0.36;0.02;0.43;0.17;0.45
131;;0.83;0.48;0.28;0.16;0.93;0.07;0.88;0.53;0.69;0.30;1.02;0.09;0.17;0.31;0.74;0.67;0.59;0.40;0.93;0.39;0.83;0.25;0.50;0.90;0.81;0.91
136;;0.43;1.14;0.91;1.42;1.61;0.43;0.86;0.82;0.45;1.32;0.75;0.47;0.96;0.19;0.37;1.62;1.65;0.91;1.38;0.49;1.31;0.43;0.57;1.60;0.94;0.17
141;;1.08;0.49;0.43;0.99;0.73;0.98;0.06;0.91;0.70;1.07;0.25;0.19;0.06;0.76;0.81;0.59;0.19;0.64;0.78;0.79;0.68;0.55;0.41;0.21;1.03;0.72
146;;0.36;0.59;0.09;0.53;0.11;0.39;0.54;0.00;0.27;0.53;0.37;0.51;0.46;0.84;0.18;0.09;0.17;0.48;0.15;0.37;0.74;0.38;0.49;0.45;0.13;0.56
151;;0.73;1.05;0.62;1.81;1.78;0.46;1.83;0.81;1.75;0.63;1.24;0.55;0.37;0.60;0.59;0.51;0.82;0.43;0.94;0.58;1.12;1.56;1.85;1.52;1.14;1.04
156;;0.90;1.05;1.19;0.29;0.80;1.26;1.18;0.07;0.18;0.43;1.25;0.11;1.12;1.10;1.05;0.82;0.59;0.97;0.22;0.67;0.99;0.66;1.15;0.38;0.67;0.68
161;;0.12;0.57;0.42;0.43;0.34;0.43;0.50;0.14;0.12;0.53;0.68;0.99;0.92;0.57;0.50;0.26;0.90;0.65;0.70;0.59;0.10;0.04;0.36;0.78;0.34;0.74
6;;1.02;0.47;0.41;0.94;1.00;0.92;0.06;0.86;0.66;1.01;0.83;0.08;0.50;0.72;0.77;0.55;0.32;0.60;0.55;0.75;0.65;0.52;0.39;0.20;0.97;0.74
11;;0.22;0.59;0.47;0.73;0.83;0.14;0.31;0.42;0.23;0.57;0.39;0.24;0.50;0.61;0.19;0.84;0.85;0.58;0.51;0.25;0.68;0.22;0.17;0.83;0.49;0.09
16;;1.10;0.28;0.14;0.20;0.96;1.13;0.60;0.76;0.94;0.77;0.51;0.49;0.33;0.32;0.73;0.21;0.06;0.31;0.25;0.19;0.47;0.66;0.04;1.09;0.31;0.80
21;;0.23;0.62;0.49;0.77;0.87;0.15;0.32;0.44;0.24;0.59;0.41;0.25;0.52;0.64;0.20;0.88;0.89;0.61;0.53;0.98;0.71;0.23;0.18;0.87;0.51;0.09
26;;0.39;0.34;0.35;0.12;0.59;0.29;0.50;0.33;0.94;1.22;0.25;0.05;0.02;0.03;0.27;0.95;0.16;1.09;0.92;0.57;1.18;0.63;0.77;0.41;0.70;0.94
31;;0.33;0.48;0.28;0.82;0.81;0.21;0.83;0.37;0.80;0.81;0.53;0.25;0.17;0.59;0.65;0.23;0.37;0.02;0.42;0.56;0.51;0.71;0.84;0.69;0.52;0.47
36;;0.40;0.34;0.35;0.12;0.61;0.29;0.51;0.33;0.96;1.25;0.26;0.05;0.02;0.03;0.27;0.97;0.17;1.11;0.94;0.58;1.20;0.64;0.78;0.41;0.71;0.96
41;;0.20;0.80;0.35;0.22;0.54;0.07;0.81;0.57;0.62;0.01;0.63;0.55;0.88;0.41;0.68;0.29;0.21;0.02;0.24;0.44;0.69;0.37;0.42;0.45;0.24;0.22
46;;1.16;0.29;0.15;0.21;1.01;1.19;0.93;0.80;0.99;0.81;0.54;0.52;0.35;0.33;0.77;0.22;0.44;0.33;0.88;0.20;0.50;0.69;0.04;1.15;0.32;0.85
51;;1.13;0.28;0.14;0.20;0.99;1.16;0.90;0.78;0.97;0.79;0.52;0.50;0.34;0.32;0.75;0.22;0.43;0.32;0.85;0.19;0.48;0.67;0.04;1.11;0.32;0.82
56;;0.46;0.40;0.41;0.14;0.70;0.34;0.59;0.39;0.99;1.44;0.30;0.06;0.02;0.03;0.31;1.13;0.19;1.29;1.09;0.67;1.39;0.74;0.91;0.48;0.82;1.11
61;;0.86;0.43;0.26;0.15;0.88;0.06;0.80;0.49;0.63;0.22;0.47;0.08;0.10;0.28;0.84;0.11;0.54;0.37;0.85;0.36;0.24;0.23;0.45;0.81;0.74;0.84
66;;0.52;0.61;0.74;0.17;0.23;0.73;0.68;0.04;0.10;0.34;0.72;0.06;0.05;0.64;0.60;0.05;0.03;0.56;0.13;0.30;0.54;0.38;0.84;0.31;0.39;0.39
71;;0.40;0.34;0.35;0.12;0.61;0.29;0.51;0.33;0.86;1.25;0.26;0.05;0.02;0.03;0.27;0.97;0.17;1.11;0.94;0.58;1.20;0.64;0.78;0.41;0.71;0.95
76;;0.86;0.68;0.82;0.19;0.25;0.81;0.76;0.05;0.12;0.38;0.80;0.07;0.05;0.71;0.67;0.05;0.03;0.62;0.14;0.33;0.60;0.43;0.93;0.35;0.43;0.44
81;;0.36;0.31;0.32;0.11;0.55;0.27;0.46;0.30;0.77;1.13;0.20;0.05;0.01;0.02;0.25;0.88;0.15;1.00;0.85;0.52;1.08;0.58;0.71;0.37;0.64;0.86
86;;0.19;0.78;0.34;0.21;0.61;0.07;0.79;0.55;0.60;0.01;0.61;0.54;0.85;0.40;0.66;0.28;0.21;0.02;0.23;0.62;0.67;0.36;0.41;0.44;0.23;0.22
91;;0.32;0.47;0.90;0.80;0.79;0.20;0.81;0.36;0.78;0.80;0.52;0.24;0.16;0.50;0.64;0.23;0.37;0.02;0.42;0.54;0.50;0.69;0.34;0.68;0.80;0.46
96;;1.33;0.61;0.53;1.22;0.63;1.20;0.08;1.12;0.86;1.32;1.08;0.04;0.65;0.94;0.82;0.72;0.41;0.63;1.31;0.98;0.84;0.68;0.51;0.63;1.26;0.97
101;;1.02;0.26;0.13;0.18;0.55;1.04;0.81;0.70;0.87;0.71;0.47;0.45;0.30;0.29;0.67;0.19;0.38;0.29;0.20;0.17;0.44;0.60;0.04;1.00;0.14;0.74
